Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0541	lapi	index2adr	0x1404CEEA0	sub_1404CEEA0	Agent - File-unique string / const
0543	lapi	luaA_pushobject	0x1404CEF50	sub_1404CEF50	Neighbour matching
0544	lapi	lua_checkstack	0x1404CEF70	sub_1404CEF70	Single called (xref) option
0545	lapi	lua_xmove	0x1404CF010	sub_1404CF010	Single called (xref) option
0546	lapi	lua_setlevel	0x1404CF070	sub_1404CF070	Single called (xref) option
0547	lapi	lua_atpanic	0x1404CF080	sub_1404CF080	Neighbour matching
0548	lapi	lua_newthread	0x1404CF0A0	sub_1404CF0A0	Single called (xref) option
0549	lapi	lua_gettop	0x1404CF0F0	sub_1404CF0F0	Single called (xref) option
0550	lapi	lua_settop	0x1404CF100	sub_1404CF100	Single called (xref) option
0551	lapi	lua_remove	0x1404CF160	sub_1404CF160	Single called (xref) option
0552	lapi	lua_insert	0x1404CF1B0	sub_1404CF1B0	Neighbour matching
0553	lapi	lua_replace	0x1404CF210	sub_1404CF210	Agent - File-unique string / const
0554	lapi	lua_pushvalue	0x1404CF2E0	sub_1404CF2E0	Single called (xref) option
0555	lapi	lua_type	0x1404CF310	sub_1404CF310	Single called (xref) option
0556	lapi	lua_typename	0x1404CF340	sub_1404CF340	Single called (xref) option
0557	lapi	lua_iscfunction	0x1404CF360	sub_1404CF360	Single called (xref) option
0558	lapi	lua_isnumber	0x1404CF390	sub_1404CF390	Single called (xref) option
0559	lapi	lua_isstring	0x1404CF3C0	sub_1404CF3C0	Single called (xref) option
0561	lapi	lua_rawequal	0x1404CF400	sub_1404CF400	Single called (xref) option
0562	lapi	lua_equal	0x1404CF450	sub_1404CF450	Score-based Matching
0563	lapi	lua_lessthan	0x1404CF4B0	sub_1404CF4B0	Single called (xref) option
0564	lapi	lua_tonumber	0x1404CF500	sub_1404CF500	Single called (xref) option
0565	lapi	lua_tointeger	0x1404CF540	sub_1404CF540	Single called (xref) option
0566	lapi	lua_toboolean	0x1404CF570	sub_1404CF570	Single called (xref) option
0567	lapi	lua_tolstring	0x1404CF5A0	sub_1404CF5A0	Score-based Matching
0568	lapi	lua_objlen	0x1404CF650	sub_1404CF650	Single called (xref) option
