Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0001	lauxlib	luaL_where	0x1404CDD20	sub_1404CDD20	Score-based Matching
0002	lauxlib	luaL_error	0x1404CDDB0	sub_1404CDDB0	Single called (xref) option
0003	lauxlib	luaL_newmetatable	0x1404CDE10	sub_1404CDE10	Single called (xref) option
0004	lauxlib	luaL_checkstack	0x1404CDE90	sub_1404CDE90	Single called (xref) option
0005	lauxlib	luaL_getmetafield	0x1404CDED0	sub_1404CDED0	Single called (xref) option
0006	lauxlib	luaL_callmeta	0x1404CDF50	sub_1404CDF50	Single called (xref) option
0007	lauxlib	libsize	N/A	N/A	ifdeffed out / inlined
0008	lauxlib	luaL_findtable	0x1404CDFD0	sub_1404CDFD0	Single called (xref) option
0009	lauxlib	emptybuffer	N/A	N/A	ifdeffed out / inlined
0010	lauxlib	adjuststack	0x1404CE100	sub_1404CE100	Neighbour matching
0011	lauxlib	luaL_prepbuffer	0x1404CE1B0	sub_1404CE1B0	Single called (xref) option
0012	lauxlib	luaL_addlstring	0x1404CE210	sub_1404CE210	Single called (xref) option
0013	lauxlib	luaL_addstring	N/A	N/A	ifdeffed out / inlined
0014	lauxlib	luaL_pushresult	0x1404CE2B0	sub_1404CE2B0	Score-based Matching
0015	lauxlib	luaL_addvalue	0x1404CE300	sub_1404CE300	Single called (xref) option
0016	lauxlib	luaL_buffinit	0x1404CE3C0	sub_1404CE3C0	Single called (xref) option
0017	lauxlib	luaL_ref	0x1404CE3E0	sub_1404CE3E0	Neighbour matching
0018	lauxlib	luaL_unref	0x1404CE4B0	sub_1404CE4B0	Neighbour matching
0019	lauxlib	getF	0x1404CE530	sub_1404CE530	Single called (xref) option
0020	lauxlib	errfile	0x1404CE5C0	sub_1404CE5C0	Neighbour matching
0021	lauxlib	luaL_loadfile	0x1404CE660	sub_1404CE660	Anchor - Complex unique string / const
0022	lauxlib	getS	0x1404CE840	sub_1404CE840	Neighbour matching
0023	lauxlib	luaL_loadbuffer	0x1404CE860	sub_1404CE860	Single called (xref) option
