Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0001	lauxlib	luaL_where	0x140472DF0	sub_140472DF0	Score-based Matching
0002	lauxlib	luaL_error	0x140472E80	sub_140472E80	Single called (xref) option
0003	lauxlib	luaL_newmetatable	0x140472EE0	sub_140472EE0	Single called (xref) option
0004	lauxlib	luaL_checkstack	0x140472F60	sub_140472F60	Single called (xref) option
0005	lauxlib	luaL_getmetafield	0x140472FA0	sub_140472FA0	Single called (xref) option
0006	lauxlib	luaL_callmeta	0x140473020	sub_140473020	Single called (xref) option
0007	lauxlib	libsize	N/A	N/A	ifdeffed out / inlined
0008	lauxlib	luaL_findtable	0x1404730A0	sub_1404730A0	Single called (xref) option
0009	lauxlib	emptybuffer	N/A	N/A	ifdeffed out / inlined
0010	lauxlib	adjuststack	0x1404731D0	sub_1404731D0	Neighbour matching
0011	lauxlib	luaL_prepbuffer	0x140473280	sub_140473280	Single called (xref) option
0012	lauxlib	luaL_addlstring	0x1404732E0	sub_1404732E0	Single called (xref) option
0013	lauxlib	luaL_addstring	N/A	N/A	ifdeffed out / inlined
0014	lauxlib	luaL_pushresult	0x140473380	sub_140473380	Single called (xref) option
0015	lauxlib	luaL_addvalue	0x1404733D0	sub_1404733D0	Single called (xref) option
0016	lauxlib	luaL_buffinit	0x140473490	sub_140473490	Score-based Matching
0017	lauxlib	luaL_ref	0x1404734B0	sub_1404734B0	Neighbour matching
0018	lauxlib	luaL_unref	0x140473580	sub_140473580	Neighbour matching
0019	lauxlib	getF	0x140473600	sub_140473600	Single called (xref) option
0020	lauxlib	errfile	0x140473690	sub_140473690	Neighbour matching
0021	lauxlib	luaL_loadfile	0x140473730	sub_140473730	Anchor - Complex unique string / const
0022	lauxlib	getS	0x140473910	sub_140473910	Neighbour matching
0023	lauxlib	luaL_loadbuffer	0x140473930	sub_140473930	Single called (xref) option
0024	lauxlib	luaL_loadstring	0x140473960	sub_140473960	Neighbour matching
0025	lauxlib	luaL_argerror	0x1404739B0	sub_1404739B0	Anchor - Complex unique string / const
0026	lauxlib	luaL_typerror	0x140473AC0	sub_140473AC0	Neighbour matching
0027	lauxlib	tag_error	N/A	N/A	ifdeffed out / inlined
0028	lauxlib	luaL_checkudata	0x140473B30	sub_140473B30	Single called (xref) option
